12/08/20 13:58:03:881 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 11980 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:03:882 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 11980 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_ohigpi
12/08/20 13:58:03:883 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 11980 | Sandbox for SLCachePath
12/08/20 13:58:04:846 | [INFO] |  |  |  | AGSHelper |  |  | 12004 | AGSHelper Started 7.2.0.32
12/08/20 13:58:04:846 | [INFO] |  |  |  | AGSHelper |  |  | 12004 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rkclai
12/08/20 13:58:04:846 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12004 | Sandbox for SLCachePath
12/08/20 13:58:04:956 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 12240 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:04:956 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 12240 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_rkclai
12/08/20 13:58:04:956 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12240 | Sandbox for SLCachePath
12/08/20 13:58:05:921 | [INFO] |  |  |  | AGSHelper |  |  | 1020 | AGSHelper Started 7.2.0.32
12/08/20 13:58:05:921 | [INFO] |  |  |  | AGSHelper |  |  | 1020 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_vuwqsj
12/08/20 13:58:05:921 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 1020 | Sandbox for SLCachePath
12/08/20 13:58:07:008 | [INFO] |  |  |  | AGSHelper |  |  | 9568 | AGSHelper Started 7.2.0.32
12/08/20 13:58:07:008 | [INFO] |  |  |  | AGSHelper |  |  | 9568 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_yfyvlk
12/08/20 13:58:07:008 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 9568 | Sandbox for SLCachePath
12/08/20 13:58:07:093 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 6520 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:07:094 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 6520 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_bhsjvd
12/08/20 13:58:07:094 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 6520 | Sandbox for SLCachePath
12/08/20 13:58:08:104 | [INFO] |  |  |  | AGSHelper |  |  | 3112 | AGSHelper Started 7.2.0.32
12/08/20 13:58:08:104 | [INFO] |  |  |  | AGSHelper |  |  | 3112 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_frvood
12/08/20 13:58:08:105 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 3112 | Sandbox for SLCachePath
12/08/20 13:58:08:184 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 10308 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:08:185 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 10308 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_frvood
12/08/20 13:58:08:185 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 10308 | Sandbox for SLCachePath
12/08/20 13:58:09:164 | [INFO] |  |  |  | AGSHelper |  |  | 12180 | AGSHelper Started 7.2.0.32
12/08/20 13:58:09:164 | [INFO] |  |  |  | AGSHelper |  |  | 12180 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_icptge
12/08/20 13:58:09:164 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 12180 | Sandbox for SLCachePath
12/08/20 13:58:10:230 | [INFO] |  |  |  | AGSHelper |  |  | 11088 | AGSHelper Started 7.2.0.32
12/08/20 13:58:10:230 | [INFO] |  |  |  | AGSHelper |  |  | 11088 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_lerzzf
12/08/20 13:58:10:230 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 11088 | Sandbox for SLCachePath
12/08/20 13:58:11:296 | [INFO] |  |  |  | AGSHelper |  |  | 10812 | AGSHelper Started 7.2.0.32
12/08/20 13:58:11:296 | [INFO] |  |  |  | AGSHelper |  |  | 10812 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_oplmkf
12/08/20 13:58:11:297 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 10812 | Sandbox for SLCachePath
12/08/20 13:58:11:399 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 8364 | *********** AGM Service Launched = 7.2.0.32 ************
12/08/20 13:58:11:399 | [INFO] |  |  |  | AGCDirectoryWatcher |  |  | 8364 | AGM-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_oplmkf
12/08/20 13:58:11:399 | [INFO] |  |  |  | SLCacheSandboxUtility |  |  | 8364 | Sandbox for SLCachePath
12/08/20 13:58:12:377 | [INFO] |  |  |  | AGSHelper |  |  | 4992 | AGSHelper Started 7.2.0.32
12/08/20 13:58:12:377 | [INFO] |  |  |  | AGSHelper |  |  | 4992 | AGSHelper-SANDBOX Launched with Pipe Name = \\.\pipe\gc_pipe_sznrcg
